MatchID,InningsNo,Overs,Maidens,Runs,Wickets,Wides,NoBalls,Economy,BowlingOrder,TotalLegalBallsBowled,DotBalls,Ones,Twos,Threes,Fours,Sixes,StrikeRate
1,1,4,0,20,2,2,1,5,1,24,15,7,0,0,1,1,12
1,1,4,0,35,0,1,1,8.75,2,24,12,7,1,0,3,2,0
1,1,4,0,23,1,1,0,5.75,3,24,11,10,1,0,1,1,24
1,1,4,0,15,0,0,0,3.75,4,24,10,13,1,0,0,0,0
1,1,4,0,38,1,0,0,9.5,5,24,7,10,1,0,5,1,24
1,2,3,0,23,0,0,0,7.67,1,18,9,3,2,0,4,0,0
1,2,2.3,0,19,0,0,0,7.6,2,15,9,1,2,0,2,1,0
1,2,4,0,31,1,0,0,7.75,3,24,5,13,4,0,1,1,24
1,2,4,0,20,3,0,0,5,4,24,11,10,1,0,2,0,8
1,2,1,0,11,0,0,0,11,5,6,1,3,0,0,3,0,0
1,2,4,0,25,0,0,0,6.25,6,24,8,13,1,0,1,1,0
2,1,4,0,47,0,1,0,11.75,1,24,8,8,1,0,3,4,0
2,1,4,0,27,2,0,0,6.75,2,24,13,5,1,0,5,0,12
2,1,4,0,40,0,0,0,10,3,24,3,14,2,0,4,1,0
2,1,2,0,29,0,1,0,14.5,4,12,4,2,0,0,5,1,0
2,1,4,0,18,3,0,0,4.5,5,24,8,14,2,0,0,0,8
2,1,2,0,15,0,0,0,7.5,6,12,2,7,2,0,1,0,0
2,2,4,0,57,0,2,0,14.25,1,24,4,9,2,0,6,3,0
2,2,3.2,0,43,0,0,0,12.9,2,20,4,7,1,0,7,1,0
2,2,4,0,35,3,3,0,8.75,3,24,11,7,1,1,3,2,8
2,2,4,0,14,2,0,0,3.5,4,24,14,8,1,0,1,0,12
2,2,3,0,26,1,2,0,8.67,5,18,6,8,1,0,2,1,18
3,1,4,0,37,0,0,0,9.25,1,24,10,7,1,0,4,2,0
3,1,4,0,31,1,3,0,7.75,2,24,11,10,1,0,2,2,24
3,1,4,0,52,0,1,0,13,3,24,9,5,1,0,5,4,0
3,1,4,0,22,1,1,0,5.5,4,24,8,11,5,0,1,0,24
3,1,3,0,38,0,1,0,12.67,5,18,5,6,3,0,0,4,0
3,1,1,0,14,0,1,0,14,6,6,1,1,3,0,0,1,0
3,2,3,0,28,0,0,0,9.33,1,18,5,8,1,0,3,1,0
3,2,4,0,59,2,6,0,14.75,2,24,9,7,1,0,5,4,12
3,2,1,0,6,0,0,0,6,3,6,3,2,0,0,1,0,0
3,2,3,0,38,1,0,0,12.67,4,18,4,6,3,0,2,3,18
3,2,4,0,40,1,1,0,10,5,24,10,8,1,0,1,4,24
3,2,4,0,36,1,5,0,9,6,24,10,7,4,0,1,2,24
4,1,4,0,25,3,0,0,6.25,1,24,13,6,0,1,4,0,8
4,1,4,0,45,2,3,0,11.25,2,24,5,12,0,0,6,1,12
4,1,4,0,24,0,1,0,6,3,24,11,9,2,0,1,1,0
